id	name	pvalue	logFC
XLOC_000286	Zap70	0.007038443	0.601058661
XLOC_000287	-	0.028909444	-1.193460875
XLOC_000288	Tmem131	0.035665887	0.251300829
XLOC_000292	Inpp4a	0.539414393	-0.107826217
XLOC_000293	Coa5	0.009638469	0.643150277
XLOC_000294	Mgat4a,Unc50	0.056423973	-1.403844453
XLOC_000295	4930594C11Rik	0.016107111	-1.187267208
XLOC_000296	4930556I23Rik	0.558997454	0.246472828
XLOC_000299	Tsga10	0.406830134	-0.490762688
XLOC_000300	Gm26805	0.391002219	0.012092601
XLOC_000301	Lipt1,Mitd1,Mrpl30	0.062851389	-0.716762238
XLOC_000304	Txndc9	0.992114872	-0.004627734
XLOC_000305	Eif5b	0.952171822	0.029609993
XLOC_000306	Gm5099	0.293948597	-0.244380599
XLOC_000308	Aff3,Gm16150,Gm16152	0.093502772	-0.616617302
XLOC_000309	Gm16150	0.040155587	-1.16079821
XLOC_000310	Aff3	0.047547759	-1.520227793
XLOC_000311	Aff3	0.450805593	-0.625073976
XLOC_000312	Aff3	0.107638284	-1.526211222
XLOC_000313	Gm16151	0.073171694	-1.112172699
XLOC_000314	Gm16152	0.42904679	-0.470594663
XLOC_000315	Aff3	0.136031779	-1.413274981
XLOC_000316	Gm34727	0.087817478	-1.400739508
XLOC_000319	Chst10,Gm37707	0.020849309	-1.357551594
XLOC_000323	Pdcl3	0.539910701	-0.07648348
XLOC_000327	Rpl31	0.156440679	0.350433446
XLOC_000329	Cnot11	0.259285429	0.131635256
XLOC_000330	Rnf149	0.743532973	-0.058817342
XLOC_000332	-	0.085102664	0.592216817
XLOC_000333	-	0.173970779	0.589321604
XLOC_000334	Map4k4	0.126683526	-2.199433043
XLOC_000339	Il1rl2	0.321958014	-0.182245162
XLOC_000342	Il18r1	0.199865128	-0.05740713
XLOC_000346	Gm37915	0.188812871	-0.306592975
XLOC_000357	Mrps9	0.369563283	-0.333266965
XLOC_000360	Gm28782	0.628921951	-0.055022102
XLOC_000362	8430432A02Rik	0.374396667	-0.176541802
XLOC_000364	Fhl2	0.093428935	0.509424028
XLOC_000368	Nck2	0.494699782	0.272283573
XLOC_000369	Gm37536	0.391002219	0.084490841
XLOC_000371	1500015O10Rik,Gm16103,Gm29157	0.381151859	0.149357989
XLOC_000372	Gm16103	0.558348075	-0.183768472
XLOC_000376	Tpp2	0.664905768	-0.199145932
XLOC_000377	Gm8251	0.536311857	0.133687994
XLOC_000378	-	0.379434801	-0.23049707
XLOC_000379	-	0.333394485	-0.246445893
XLOC_000380	-	0.655158534	0.122021661
XLOC_000381	Tex30	0.140436992	0.207010164
XLOC_000382	Bivm	0.071939648	0.772690021
XLOC_000383	Ercc5	0.032946984	-0.314671287
XLOC_000397	Wdr75	0.334588648	0.374308992
XLOC_000398	Gm5526	0.731556777	0.146610663
XLOC_000400	Slc40a1	0.066789443	-1.187106455
XLOC_000401	Slc40a1	0.063255987	-0.912949105
XLOC_000408	Dnah7c	0.450783618	0.142350131
XLOC_000409	Gm28151	0.260752694	0.312786654
XLOC_000433	Nabp1	0.044559865	0.613061492
XLOC_000434	Gm28177,Stat1,Stat4	0.36584296	-0.377255934
XLOC_000435	Gls	0.003870892	0.463202779
XLOC_000436	Nab1	0.009631076	-0.629221171
XLOC_000438	Gm5527	0.79140146	-0.181679141
XLOC_000439	Tmem194b	0.048773469	-1.400501669
XLOC_000440	Mfsd6	0.004704046	-0.818540688
XLOC_000442	-	0.165942407	-1.248141487
XLOC_000443	-	0.051949467	-1.330677167
XLOC_000444	-	0.038782749	-0.742559242
XLOC_000445	-	0.018853998	-0.904302068
XLOC_000446	Inpp1	0.012545099	-1.420715245
XLOC_000447	Hibch	0.670564599	-0.085185135
XLOC_000450	Gm28777,Pms1	0.607371748	-0.28694305
XLOC_000451	Gm28778,Ormdl1,Osgepl1	0.391002219	-0.114174152
XLOC_000452	Gm28551	0.017674047	0.592585809
XLOC_000455	-	0.095763448	-0.627607436
XLOC_000456	-	0.044231438	-0.4913346
XLOC_000457	Stk17b	0.000320247	-2.026463042
XLOC_000460	Ccdc150	0.091603046	-0.218275346
XLOC_000461	-	0.857404554	-0.009641615
XLOC_000462	-	0.002138936	-1.159453363
XLOC_000463	-	0.090515127	-0.730202646
XLOC_000464	-	0.032400758	-0.888188238
XLOC_000465	Gtf3c3	0.429902134	-0.203660076
XLOC_000466	Pgap1	0.006330051	-1.30494076
XLOC_000467	Gm36955	0.081000069	-0.512343408
XLOC_000469	-	0.016831984	-1.952206641
XLOC_000470	-	0.075422824	-0.620877862
XLOC_000471	-	0.017008594	-1.632921913
XLOC_000472	4930444A19Rik,Ankrd44	0.000208397	-1.367201246
XLOC_000473	Ankrd44	0.103386011	-1.446636927
XLOC_000474	Ankrd44	0.001101846	-2.667420014
XLOC_000475	Ankrd44	0.024561666	-2.986461805
XLOC_000476	Ankrd44	0.033327962	-2.941947069
XLOC_000477	Ankrd44	0.018180596	-2.258389923
XLOC_000478	Ankrd44	0.042428192	-2.350938933
XLOC_000479	Ankrd44	0.000968186	-2.289746023
XLOC_000481	Sf3b1	0.005805518	-0.576924006
XLOC_000483	-	0.010131943	-1.807654697
XLOC_000484	Coq10b	0.156724251	-0.831384687
XLOC_000485	Gm17971	0.900787789	-0.031242414
XLOC_000486	Hspd1,Hspe1	8.12e-05	3.265195951
XLOC_000487	Gm16581	0.297619463	-0.297073664
XLOC_000488	Mob4	0.25948282	-0.661853355
XLOC_000489	Rftn2	0.732263913	0.142487024
XLOC_000490	Gm10561	0.181700343	-0.109412359
XLOC_000491	Mars2	0.01422329	-0.627037014
XLOC_000492	Boll,Gm8292	0.127515792	-1.436114476
XLOC_000495	Gm38056	0.590088829	0.15747899
XLOC_000504	1700066M21Rik	0.188776158	0.207264989
XLOC_000505	9430016H08Rik,Tyw5	0.230487633	0.158939074
XLOC_000507	Spats2l	0.816645267	-0.018034069
XLOC_000508	Kctd18	0.04639003	-0.727864775
XLOC_000514	Gm37607	0.384688828	-0.1129931
XLOC_000515	Bzw1	0.000476014	-2.456729845
XLOC_000516	Clk1	0.000405251	-2.41905131
XLOC_000517	Nif3l1	0.013093034	0.822702761
XLOC_000518	Gm15834	0.352659337	-0.260666361
XLOC_000519	Ndufb3	0.391002219	0.067929323
XLOC_000524	Cflar	0.855967556	-0.084016635
XLOC_000526	Casp8	0.644540387	-0.081157236
XLOC_000527	Gm37760	0.24630281	-0.129521918
XLOC_000528	-	0.904499971	-0.034648904
XLOC_000529	Stradb,Trak2	0.316999378	-0.2100174
XLOC_000533	Als2,Gm29017	0.114390125	-0.26832571
XLOC_000534	Gm19125	0.967877952	0.012591667
XLOC_000538	Gm973	0.19104141	-0.624217973
XLOC_000540	Sumo1	0.010414755	0.777804546
XLOC_000542	Gm26293,Nop58	0.106263837	1.382389867
XLOC_000546	Bmpr2	0.183037029	-0.032662831
XLOC_000548	Fam117b	0.086828065	-0.362286704
XLOC_000549	Gm37531	0.229961186	-0.077031524
XLOC_000550	-	0.391002219	0.173460827
XLOC_000551	-	0.52676466	-0.249637671
XLOC_000552	Wdr12	0.01182363	1.057888212
XLOC_000553	Carf	0.391002219	0.126777652
XLOC_000555	Nbeal1	0.240287669	-0.235723249
XLOC_000556	Cyp20a1	0.456654631	0.030081768
XLOC_000558	Abi2	0.277391759	0.35370374
XLOC_000559	Gm11576	0.005559954	1.689422552
XLOC_000562	Eif4a-ps4	0.132737217	0.540152947
XLOC_000563	Cd28	0.193406022	-0.510324829
XLOC_000565	Gm37198	0.963113833	-0.028605319
XLOC_000569	Ctla4	0.441725477	-0.207002031
XLOC_000571	-	0.201443639	-1.187501524
XLOC_000572	Icos	0.069899695	0.180827119
XLOC_000594	Ino80dos,Rps27-ps1	0.76632656	0.049837512
XLOC_000596	Ino80dos	0.289343565	-0.293970378
XLOC_000597	Gm20342	0.503290934	-0.039702761
XLOC_000599	Eef1b2,Gm27390	0.29457326	-1.042473438
XLOC_000610	Gm13748,Gm26649	0.030686769	-0.964617037
XLOC_000613	Creb1	0.029015753	-0.550633355
XLOC_000614	Mettl21a	0.440751071	0.098242361
XLOC_000617	Ccnyl1	0.371703751	-0.251593785
XLOC_000618	Gm38058	0.017244371	-0.493612241
XLOC_000619	Rpl31-ps24	0.024803272	-0.884719129
XLOC_000621	Rpl10a-ps1	0.001198235	0.86113656
XLOC_000624	Idh1	0.016622207	-1.237677015
XLOC_000625	Pikfyve	0.050936647	-0.076428138
XLOC_000631	Map2	0.563295701	-0.031952301
XLOC_000635	Rpe	0.274663319	-0.095602568
XLOC_000636	Gm38162	0.004138249	-0.892153059
XLOC_000637	Gm15789	0.005262217	-0.608897796
XLOC_000638	Gm37755	0.002521129	-0.585379949
XLOC_000639	-	0.031530123	-0.970632602
XLOC_000640	Gm27934	0.073683751	0.268942646
XLOC_000644	Lancl1	0.594038693	0.186710212
XLOC_000656	Gm29114,Ikzf2	0.005103631	-0.972643633
XLOC_000657	Ikzf2	0.01091296	-1.141178155
XLOC_000662	Bard1	0.17736958	-0.564298682
XLOC_000663	Atic	0.292370926	0.211922308
XLOC_000669	D230017M19Rik	0.165382837	1.270756106
XLOC_000673	D230017M19Rik,Tmem169	0.080471503	3.032595209
XLOC_000674	Xrcc5	0.926039176	0.009138003
XLOC_000676	Smarcal1	0.74357471	-0.011740699
XLOC_000677	Rpl37a	0.513945296	-0.47060991
XLOC_000686	Tns1	0.097414417	-0.53746061
XLOC_000690	Arpc2	0.913830732	0.016163266
XLOC_000691	Gm28364,Gpbar1	0.02484881	0.718591194
XLOC_000693	Gm29358,Tmbim1	0.009394798	1.833864596
XLOC_000694	Gm29358	0.022782629	0.303318749
XLOC_000698	Ctdsp1	0.097031223	0.475767246
XLOC_000700	Usp37,Vil1	0.000747486	0.85096078
XLOC_000701	Rqcd1	0.700520599	-0.078858197
XLOC_000702	Plcd4,Zfp142	0.249508366	-0.056085755
XLOC_000703	Bcs1l	0.084493531	-0.216073005
XLOC_000704	Rnf25	0.107369643	0.444648441
XLOC_000706	-	0.09343145	0.848637542
XLOC_000707	Ttll4	0.193592652	0.177601978
XLOC_000712	-	0.604896517	-0.284462027
XLOC_000717	Nhej1	0.477804076	0.393199559
XLOC_000718	-	0.028903546	-1.428489277
XLOC_000719	Nhej1	0.081394031	-2.651989253
XLOC_000720	Cnppd1	0.005648237	-0.930473131
XLOC_000721	Fam134a	0.280190339	-0.133277815
XLOC_000722	Zfand2b	0.782120118	0.095357673
XLOC_000723	Gm29253	0.0182197	-1.213572991
XLOC_000724	Ankzf1	0.955237157	0.017442315
XLOC_000725	Stk16	0.097123035	0.18675743
XLOC_000726	Dnajb2	0.007324829	-0.595135504
XLOC_000729	Dnpep	0.061993375	0.427752162
XLOC_000732	Gmppa	0.936622558	-0.024782242
XLOC_000733	Asic4,Chpf,Tmem198	0.006057904	0.754206527
XLOC_000735	Stk11ip	0.211201173	-0.036957465
XLOC_000747	Farsb,Gm28995,Sgpp2	0.00401297	1.639758465
XLOC_000749	Gm28995	0.391002219	0.711851921
XLOC_000752	Acsl3,Utp14b	0.903171891	-0.011466673
XLOC_000755	-	0.150169411	-0.363585373
XLOC_000756	Ap1s3	0.255556534	0.232868727
XLOC_000757	Wdfy1	0.690312961	0.168817417
XLOC_000758	Gm10555,Wdfy1	0.763463526	-0.180134712
XLOC_000760	Mrpl44	0.391002219	-0.08701628
XLOC_000761	Serpine2	0.035206872	1.702988701
XLOC_000762	Gm5529	0.752189923	0.227623468
XLOC_000766	9830004L10Rik	0.350589166	0.253987765
XLOC_000767	Fam124b	0.002975781	1.34240161
XLOC_000769	-	0.03070734	-1.510411875
XLOC_000770	Cul3	0.009509127	-0.100772522
XLOC_000773	-	0.008584949	-1.156944881
XLOC_000774	Dock10	0.014285154	-0.34570583
XLOC_000780	Gm9747	0.391002219	0.034555517
XLOC_000781	Rhbdd1	0.84312098	-0.025367581
XLOC_000783	Col4a3	0.618449335	-0.014506265
XLOC_000785	Mff	0.611760854	-0.197019501
XLOC_000787	-	0.08418071	-0.817278442
XLOC_000788	-	0.322018654	-0.824787642
XLOC_000789	-	0.267955732	-0.25948005
XLOC_000790	-	0.086083694	-0.544313412
XLOC_000791	Gm36999	0.100680502	-0.519939418
XLOC_000793	Agfg1,Gm22396	0.420301142	0.080622997
XLOC_000805	Trip12	0.386818818	-0.104682153
XLOC_000811	A530040E14Rik	0.862036881	0.015494793
XLOC_000816	C130026I21Rik	0.050160725	-1.444011433
XLOC_000821	G530012D18Rik,Sp110	0.0813727	-0.159405583
XLOC_000823	Sp140	0.068435819	0.239913193
XLOC_000824	Sp100,n-R5s215	0.190980591	-1.57676044
XLOC_000825	A630001G21Rik	0.012000766	0.729731742
XLOC_000830	Cab39	0.311889078	0.250050501
XLOC_000831	Itm2c	0.198175224	-0.138448475
XLOC_000835	Armc9,Gm21972,Psmd1	0.032171876	0.360300856
XLOC_000841	C130036L24Rik,Ncl	0.001005976	2.130703676
XLOC_000842	-	0.006772637	-2.295013018
XLOC_000844	-	0.991269702	0.178979625
XLOC_000846	-	0.052313927	-0.325513955
XLOC_000847	-	0.406902932	-0.208861604
XLOC_000848	-	0.467202814	0.338856742
XLOC_000849	Ptma	0.039623715	1.048409193
XLOC_000850	Gm37152	0.044087613	0.677923267
XLOC_000851	Gm37152	0.070610959	1.058415062
XLOC_000854	Dis3l2	0.768366853	0.019330537
XLOC_000861	Gm6136	0.472917532	-0.08608951
XLOC_000870	Chrng	0.179454956	0.121006901
XLOC_000871	Eif4e2	0.101780297	-0.346322027
XLOC_000874	Gigyf2	0.973121712	0.031977736
XLOC_000878	Inpp5d	0.226971937	-0.583551192
XLOC_000879	Atg16l1	0.939815966	-0.014214822
XLOC_000882	Sag	0.018765644	-0.682437208
XLOC_000883	-	0.024247935	-1.533326386
XLOC_000884	Dgkd	0.409708092	0.592492135
XLOC_000885	4833421G17Rik	0.080140486	-0.571843452
XLOC_000890	Ugt1a1,Ugt1a10,Ugt1a2,Ugt1a5,Ugt1a6a,Ugt1a6b,Ugt1a7c,Ugt1a8,Ugt1a9	0.391002219	-0.061311542
XLOC_000899	Hjurp,Mroh2a,Trpm8	0.001439197	-1.000241614
XLOC_000902	Glrp1	0.00367271	1.160739524
XLOC_000904	Gm38130	0.191856676	-0.427988246
XLOC_000906	Arl4c	0.000314999	-3.974090066
XLOC_000925	Cops8	0.423561722	-0.343367762
XLOC_000929	Lrrfip1	0.060434853	-1.0902549
XLOC_000933	Ube2f	0.211076495	-0.393684381
XLOC_000935	Scly	0.391002219	-0.534971321
XLOC_000936	Espnl	0.080749552	-0.079832708
XLOC_000937	Klhl30	0.316171698	-0.131927592
XLOC_000938	Fam132b,Ilkap	0.741335243	-0.035897558
XLOC_000939	Hes6	0.000183307	-0.992218292
XLOC_000940	Per2	0.006993814	-1.087613652
XLOC_000943	Asb1	0.391002219	-0.006826618
XLOC_000947	Gm37600	0.011590798	-0.667490871
XLOC_000948	Gm26720,Hdac4	0.30747769	-0.2770511
XLOC_000949	Gm37048	0.063494551	-0.416324815
XLOC_000951	Ndufa10	0.020087269	0.831179537
XLOC_000961	-	0.26608802	0.404913341
XLOC_000962	Myeov2	0.78885783	0.045658847
XLOC_000963	Gpc1	0.575439815	-0.100506039
XLOC_000965	-	0.527377494	0.266845475
XLOC_000966	Dusp28	0.556005421	-0.224492876
XLOC_000967	Rnpepl1	0.41504677	-0.140829297
XLOC_000968	Capn10	0.030950504	-0.51398095
XLOC_000976	Mir6901,Mterf4,Sned1	0.07673413	1.062085865
XLOC_000978	Ppp1r7	0.501257758	0.119165591
XLOC_000982	Ano7	0.078401037	-0.35573851
XLOC_000983	Gm17415	0.002761843	1.093402377
XLOC_000984	Gm17415	0.612350154	-0.440404899
XLOC_000985	Sep-02	0.156729131	0.8260034
XLOC_000986	Farp2,Gm28536	0.230778103	-0.257039612
XLOC_000988	Bok	0.101544919	0.165020556
XLOC_000989	Atg4b,Gm10550,Thap4	0.017548136	1.017467508
XLOC_000990	Thap4	0.394714928	0.788492304
XLOC_000991	Thap4	0.111823192	1.698538151
XLOC_000992	Atg4b	0.070385732	0.80313456
XLOC_000993	Dtymk	0.012098628	0.761654134
XLOC_000994	Ing5	0.294897129	-0.069685561
XLOC_000999	-	0.355653559	0.567958451
XLOC_001000	-	0.223839048	0.159903172
XLOC_001001	-	0.316258974	0.209490388
XLOC_001005	Pdcd1	0.000946065	2.671089616
XLOC_001007	Gm7895	0.270604871	-0.434923198
XLOC_001009	-	0.449162258	-0.401458885
XLOC_001010	Fam174a	0.956328076	0.004205875
XLOC_001011	BC055308	0.391002219	-0.040765176
XLOC_001012	Gm15427	0.973136406	-0.355108957
XLOC_001013	-	0.098572001	-0.701795466
XLOC_001014	St8sia4	0.008787325	-1.361964929
XLOC_001015	Gm37642	0.16828474	-1.182401329
XLOC_001026	D1Ertd622e	0.076549447	0.363498815
XLOC_001027	-	0.51750543	0.170485495
XLOC_001028	Gin1,Ppip5k2	0.083494055	0.575553132
XLOC_001029	Gm25413,Pam	0.246411591	-0.371389927
XLOC_001053	-	0.808676461	-0.005813525
XLOC_001054	Gm28187	0.003962284	0.668483008
XLOC_001060	-	0.23794909	1.060186128
XLOC_001072	Gm3608	0.780399542	-0.030292271
XLOC_001073	2310035C23Rik,Gm8004	0.210210718	0.330836165
XLOC_001074	Gm20302	0.11808676	-0.222502657
XLOC_001075	Gm8004	0.118203073	-0.399957859
XLOC_001080	Zcchc2	0.054965425	-0.254172855
XLOC_001082	Phlpp1	0.672527611	-0.018172043
XLOC_001085	Bcl2,D630008O14Rik	0.000224105	-1.073367967
XLOC_001086	Kdsr,Vps4b	0.094727513	-0.360324524
XLOC_001087	-	0.00044339	-0.665192157
XLOC_001108	Dsel	0.546672606	-0.146835365
XLOC_001135	-	0.633588539	0.122645237
XLOC_001136	-	0.623454018	0.083982031
XLOC_001137	-	0.328830057	-0.341430619
XLOC_001138	Tsn	0.000850533	0.359576261
XLOC_001139	Nifk	0.761937616	0.211042528
XLOC_001141	-	0.0822883	-0.784948943
XLOC_001142	Clasp1	0.193701409	-0.156052266
XLOC_001149	Gm29454,Ralb	0.519740301	0.039687961
XLOC_001151	Tmem185b	0.522696509	0.173872422
XLOC_001153	-	0.880245793	0.082205403
XLOC_001154	Gm29657,Ptpn4	0.637779535	-0.09046897
XLOC_001156	Gm29657	0.465666945	-0.611463405
XLOC_001157	Gm8338	0.185421898	-1.44858588
XLOC_001161	Tmem177	0.187767777	0.498798791
XLOC_001164	3110009E18Rik,Dbi	0.027453974	1.400174451
XLOC_001176	-	0.147616283	0.580108824
XLOC_001177	-	0.610529715	-0.125552408
XLOC_001178	Insig2	0.413836438	-0.130362946
XLOC_001180	Ccdc93	0.244873116	-0.140781337
XLOC_001182	-	0.186676728	0.399559626
XLOC_001183	Ddx18	0.03815902	1.305318915
XLOC_001198	-	0.026525707	-0.941197331
XLOC_001199	Actr3	0.713415913	-0.069865748
XLOC_001203	Mgat5	0.198027192	-0.175750629
XLOC_001206	Gm8451	0.74359366	0.22610483
XLOC_001210	Acmsd	0.707393767	-0.056449495
XLOC_001211	Ccnt2	0.151009904	-0.742080461
XLOC_001212	Rab3gap1	0.465311486	-0.15004182
XLOC_001213	Gm28800	0.289986864	0.839923522
XLOC_001214	Rpl28-ps1,Zranb3	0.117635841	1.797444351
XLOC_001215	Rpl28-ps1	0.514212666	-0.346451475
XLOC_001216	R3hdm1	0.311095445	-0.167256417
XLOC_001217	Gm37588	0.391002219	0.013615892
XLOC_001219	Gm37407	0.391002219	-0.084741006
XLOC_001221	Ubxn4	0.122718041	-0.576643342
XLOC_001222	Mcm6	0.000888246	2.239454086
XLOC_001223	Dars	0.027172242	0.917231809
XLOC_001225	Cxcr4	0.000363167	-2.391298623
XLOC_001236	Cd55,Gm15674,Gm16083	0.000787385	-2.45240453
XLOC_001238	Gm37283	0.391002219	-0.127192853
XLOC_001239	Pfkfb2	0.002756983	-0.905190296
XLOC_001240	Yod1	0.887835789	-0.004200584
XLOC_001247	-	0.015087469	-0.760979301
XLOC_001248	Mapkapk2	0.004395913	1.748047933
XLOC_001249	Dyrk3	0.0139934	0.952221894
XLOC_001250	Eif2d	0.000898764	-0.689670283
XLOC_001251	Gm17796	0.391002219	0.031760256
XLOC_001252	Gm28913,Gm28914,Ikbke	0.109188582	-0.169364898
XLOC_001253	-	0.318144567	-0.62091004
XLOC_001254	Srgap2	0.053064244	-0.336778715
XLOC_001257	Gm8532	0.345653115	-1.377533554
XLOC_001258	Ctse	0.391002219	0.025626641
XLOC_001261	Pm20d1	0.201646643	0.024867507
XLOC_001262	Slc41a1	0.372269492	0.581602336
XLOC_001263	Rab29	0.391002219	-0.230221757
XLOC_001265	Nucks1	0.054169596	0.403968256
XLOC_001267	Elk4,Gm29103,Slc45a3	0.411817504	-0.57027127
XLOC_001268	Gm26892	0.391002219	-0.06639913
XLOC_001279	Dstyk	0.223609733	0.372265784
XLOC_001280	Rbbp5	0.277794096	-0.132196008
XLOC_001281	Tmem81	0.391002219	-0.061017782
XLOC_001283	Lrrn2	0.434107426	0.019772099
XLOC_001285	Mdm4	0.016882574	-0.523637184
XLOC_001287	-	0.281319403	1.992275414
XLOC_001289	Ppp1r15b	0.045649356	-0.278757665
XLOC_001295	Gm23939	0.17186271	0.472310355
XLOC_001297	Zc3h11a	0.243061565	-0.163200067
XLOC_001299	Lax1	0.003272036	-1.40516174
XLOC_001300	Atp2b4	0.399815804	-0.365067031
XLOC_001307	-	0.008307759	-1.571058556
XLOC_001308	-	0.046012253	-1.478897027
XLOC_001309	Btg2	0.000639219	-1.769513658
XLOC_001310	Gm38140	0.028715181	-1.215211318
XLOC_001316	-	0.126513687	-0.763584053
XLOC_001317	-	0.163634363	-0.525849757
XLOC_001318	-	0.003524531	-0.674189381
XLOC_001319	Tmem183a	0.269085867	0.233274511
XLOC_001321	Cyb5r1	0.988563552	-0.028019108
XLOC_001322	Adipor1	0.248133475	0.087312616
XLOC_001324	Gm37935	0.250869031	0.173885028
XLOC_001325	Klhl12	0.062785676	-0.356484545
XLOC_001326	-	0.049714187	-1.460496523
XLOC_001327	Rabif	0.508670726	0.044588866
XLOC_001331	Kdm5b	0.864997918	0.013290979
XLOC_001332	Syt2	0.654356422	-0.091541671
XLOC_001333	Gm28892,Ppp1r12b,Syt2	0.013193967	-1.04254137
XLOC_001334	Gm37949	0.29215885	-0.373852079
XLOC_001336	Ube2t	0.391002219	-0.040156808
XLOC_001337	Gm10535	0.763597914	-0.055655837
XLOC_001338	Ptprv	0.584617776	0.121673542
XLOC_001339	Ptpn7	0.167475265	0.339451728
XLOC_001340	Arl8a	0.092463376	-0.410213364
XLOC_001342	Gm4204	0.104518758	1.128176312
XLOC_001343	Gm26642,Rnpep	0.004126888	0.590762362
XLOC_001344	Timm17a	0.001634182	0.781282348
XLOC_001346	Ipo9	0.812976553	0.021020618
XLOC_001347	Gm4793	0.391002219	0.028474889
XLOC_001348	Csrp1	0.806099086	-0.030533058
XLOC_001353	Lad1	0.427436661	0.181144485
XLOC_001356	Tmem9	0.982534068	0.019001084
XLOC_001358	Cacna1s	0.391002219	0.01036514
XLOC_001360	Gm15850	0.490542	0.174522276
XLOC_001361	Kif21b	0.129710191	-0.6411214
XLOC_001364	Camsap2,Gm26781	0.004832542	-0.529761607
XLOC_001370	Gm33994	0.051637832	0.520822416
XLOC_001371	Zfp281	0.152596325	-0.226995649
