id	name	pvalue	logFC	qvalue
XLOC_000113	Stau2	0.291101061	0.237389764	0.489030379
XLOC_000114	Stau2	0.974576646	0.112256406	0.984418393
XLOC_000115	Gm38342,Ube2w	0.2077646	0.280741259	0.407446185
XLOC_000116	Tceb1	0.19888637	0.231488719	0.398101785
XLOC_000118	Tmem70	0.231876129	-0.3017869	0.432101314
XLOC_000144	Mcm3	0.000137841	2.529754434	0.017582925
XLOC_000147	Paqr8	0.182732839	-0.143899395	0.385519719
XLOC_000150	-	0.350543061	-0.319954886	0.54443531
XLOC_000151	Tram2	0.064739693	-1.132707372	0.216270412
XLOC_000156	Gsta3	0.310187075	-0.214812361	0.50679268
XLOC_000158	Gm4956	0.035934357	-2.118552727	0.154411698
XLOC_000160	-	0.328065837	-0.912908071	0.523770357
XLOC_000161	-	0.211999262	-0.586616235	0.411590432
XLOC_000170	-	0.138970647	0.496101871	0.330553411
XLOC_000171	Kcnq5	0.005760061	2.925692455	0.057065797
XLOC_000172	Gm36949	0.150378926	0.401048376	0.345251152
XLOC_000173	Gm36949	0.212768656	1.174837372	0.412476297
XLOC_000174	Gm26580	0.000790166	1.487339705	0.025231521
XLOC_000183	B3gat2	0.700522722	-0.040354408	0.794552066
XLOC_000184	Gm26524	0.735309811	0.070499371	0.820132793
XLOC_000188	Gm28439	0.549659851	0.130942208	0.678264006
XLOC_000199	Gm7846	0.788779705	0.086664218	0.860295994
XLOC_000208	Phf3	0.050647178	-0.325532503	0.187668058
XLOC_000209	Ptp4a1	0.000146335	-1.463628751	0.01759505
XLOC_000235	1700001G17Rik	0.655849357	0.01101464	0.760568214
XLOC_000238	Rab23	0.779164208	0.167424147	0.853074317
XLOC_000239	Gm37905	0.023652529	1.750380849	0.121198058
XLOC_000240	-	0.220068108	-0.39473685	0.419521835
XLOC_000241	Zfp451	0.436329214	0.126481174	0.589403107
XLOC_000242	Dst	0.924454328	-0.009209563	0.952439961
XLOC_000249	Gm37233	0.171761735	0.232452331	0.373418801
XLOC_000250	Imp4	0.035361232	0.252673424	0.152800627
XLOC_000251	Ptpn18	0.424690687	-0.497868922	0.579610137
XLOC_000255	Arhgef4,Gm37127	0.004717535	-0.428629626	0.051599724
XLOC_000258	Plekhb2	0.317179824	0.150239265	0.513203515
XLOC_000267	Hs6st1	0.008524588	0.192842805	0.069050219
XLOC_000268	-	0.229712304	-0.696192725	0.429778392
XLOC_000269	Gm33280	0.009146456	-0.213911503	0.072474879
XLOC_000270	Neurl3	0.01224692	-1.135132082	0.084477968
XLOC_000271	-	0.07565891	-1.242861942	0.234928064
XLOC_000272	Arid5a	0.083880606	-0.846141702	0.248572914
XLOC_000273	4930403P22Rik	0.281989326	0.612905345	0.481198597
XLOC_000274	Kansl3	0.430062448	0.16209343	0.584143274
XLOC_000275	Fer1l5	0.093364974	0.27634265	0.263940638
XLOC_000276	AC084391.1,Cnnm4	0.194700213	-0.17382134	0.394121707
XLOC_000278	Cnnm3	0.30392164	-0.432157676	0.500654939
XLOC_000279	Ankrd23,Ankrd39	0.279982214	-0.218373522	0.479544335
XLOC_000280	D430040D24Rik,Sema4c	0.02748391	1.37384256	0.132354999
XLOC_000283	Cox5b	0.352021539	0.68585904	0.545761435
XLOC_000284	Actr1b	0.634508745	-0.064298081	0.743019265
XLOC_000286	Zap70	0.007038443	0.601058661	0.063001461
XLOC_000287	-	0.028909444	-1.193460875	0.136007068
XLOC_000288	Tmem131	0.035665887	0.251300829	0.153711647
XLOC_000292	Inpp4a	0.539414393	-0.107826217	0.671118762
XLOC_000293	Coa5	0.009638469	0.643150277	0.074174759
XLOC_000294	Mgat4a,Unc50	0.056423973	-1.403844453	0.200458821
XLOC_000295	4930594C11Rik	0.016107111	-1.187267208	0.097663568
XLOC_000296	4930556I23Rik	0.558997454	0.246472828	0.685879383
XLOC_000299	Tsga10	0.406830134	-0.490762688	0.564624667
XLOC_000300	Gm26805	0.391002219	0.012092601	0.551169243
XLOC_000301	Lipt1,Mitd1,Mrpl30	0.062851389	-0.716762238	0.212630434
XLOC_000304	Txndc9	0.992114872	-0.004627734	0.995037882
XLOC_000305	Eif5b	0.952171822	0.029609993	0.970121966
XLOC_000306	Gm5099	0.293948597	-0.244380599	0.491749299
XLOC_000308	Aff3,Gm16150,Gm16152	0.093502772	-0.616617302	0.264095726
XLOC_000309	Gm16150	0.040155587	-1.16079821	0.163830148
XLOC_000310	Aff3	0.047547759	-1.520227793	0.180719244
XLOC_000311	Aff3	0.450805593	-0.625073976	0.601308989
XLOC_000312	Aff3	0.107638284	-1.526211222	0.28506308
XLOC_000313	Gm16151	0.073171694	-1.112172699	0.231248668
XLOC_000314	Gm16152	0.42904679	-0.470594663	0.58333806
XLOC_000315	Aff3	0.136031779	-1.413274981	0.326376658
XLOC_000316	Gm34727	0.087817478	-1.400739508	0.255281329
XLOC_000319	Chst10,Gm37707	0.020849309	-1.357551594	0.113311651
XLOC_000323	Pdcl3	0.539910701	-0.07648348	0.671385706
XLOC_000327	Rpl31	0.156440679	0.350433446	0.353420638
XLOC_000329	Cnot11	0.259285429	0.131635256	0.459988925
XLOC_000330	Rnf149	0.743532973	-0.058817342	0.82611612
XLOC_000332	-	0.085102664	0.592216817	0.250304201
XLOC_000333	-	0.173970779	0.589321604	0.376589483
XLOC_000334	Map4k4	0.126683526	-2.199433043	0.313263869
XLOC_000339	Il1rl2	0.321958014	-0.182245162	0.517771855
XLOC_000342	Il18r1	0.199865128	-0.05740713	0.399182012
XLOC_000346	Gm37915	0.188812871	-0.306592975	0.389506091
XLOC_000357	Mrps9	0.369563283	-0.333266965	0.551169243
XLOC_000360	Gm28782	0.628921951	-0.055022102	0.738952986
XLOC_000362	8430432A02Rik	0.374396667	-0.176541802	0.551169243
XLOC_000364	Fhl2	0.093428935	0.509424028	0.264006452
XLOC_000368	Nck2	0.494699782	0.272283573	0.635235912
XLOC_000369	Gm37536	0.391002219	0.084490841	0.551169243
XLOC_000371	1500015O10Rik,Gm16103,Gm29157	0.381151859	0.149357989	0.551169243
XLOC_000372	Gm16103	0.558348075	-0.183768472	0.685339253
XLOC_000376	Tpp2	0.664905768	-0.199145932	0.767978761
XLOC_000377	Gm8251	0.536311857	0.133687994	0.668814235
XLOC_000378	-	0.379434801	-0.23049707	0.551169243
XLOC_000379	-	0.333394485	-0.246445893	0.528479454
XLOC_000380	-	0.655158534	0.122021661	0.760002456
XLOC_000381	Tex30	0.140436992	0.207010164	0.332592557
XLOC_000382	Bivm	0.071939648	0.772690021	0.229213192
XLOC_000383	Ercc5	0.032946984	-0.314671287	0.146572701
XLOC_000397	Wdr75	0.334588648	0.374308992	0.529539768
XLOC_000398	Gm5526	0.731556777	0.146610663	0.817364277
XLOC_000400	Slc40a1	0.066789443	-1.187106455	0.219604223
XLOC_000401	Slc40a1	0.063255987	-0.912949105	0.213353584
XLOC_000408	Dnah7c	0.450783618	0.142350131	0.601308989
XLOC_000409	Gm28151	0.260752694	0.312786654	0.461683775
XLOC_000433	Nabp1	0.044559865	0.613061492	0.173835866
XLOC_000434	Gm28177,Stat1,Stat4	0.36584296	-0.377255934	0.551169243
XLOC_000435	Gls	0.003870892	0.463202779	0.047195689
XLOC_000436	Nab1	0.009631076	-0.629221171	0.074145996
XLOC_000438	Gm5527	0.79140146	-0.181679141	0.861899491
XLOC_000439	Tmem194b	0.048773469	-1.400501669	0.183421833
XLOC_000440	Mfsd6	0.004704046	-0.818540688	0.051599724
XLOC_000442	-	0.165942407	-1.248141487	0.365636446
XLOC_000443	-	0.051949467	-1.330677167	0.190314386
XLOC_000444	-	0.038782749	-0.742559242	0.160596116
XLOC_000445	-	0.018853998	-0.904302068	0.106753369
XLOC_000446	Inpp1	0.012545099	-1.420715245	0.085455337
XLOC_000447	Hibch	0.670564599	-0.085185135	0.772540404
XLOC_000450	Gm28777,Pms1	0.607371748	-0.28694305	0.723097073
XLOC_000451	Gm28778,Ormdl1,Osgepl1	0.391002219	-0.114174152	0.551169243
XLOC_000452	Gm28551	0.017674047	0.592585809	0.102743874
XLOC_000455	-	0.095763448	-0.627607436	0.267070664
XLOC_000456	-	0.044231438	-0.4913346	0.172977326
XLOC_000457	Stk17b	0.000320247	-2.026463042	0.020476758
XLOC_000460	Ccdc150	0.091603046	-0.218275346	0.261029893
XLOC_000461	-	0.857404554	-0.009641615	0.908749674
XLOC_000462	-	0.002138936	-1.159453363	0.037080546
XLOC_000463	-	0.090515127	-0.730202646	0.259553934
XLOC_000464	-	0.032400758	-0.888188238	0.145252036
XLOC_000465	Gtf3c3	0.429902134	-0.203660076	0.584016311
XLOC_000466	Pgap1	0.006330051	-1.30494076	0.059921124
XLOC_000467	Gm36955	0.081000069	-0.512343408	0.243998882
XLOC_000469	-	0.016831984	-1.952206641	0.099969143
XLOC_000470	-	0.075422824	-0.620877862	0.234666681
XLOC_000471	-	0.017008594	-1.632921913	0.100479318
XLOC_000472	4930444A19Rik,Ankrd44	0.000208397	-1.367201246	0.018453595
XLOC_000473	Ankrd44	0.103386011	-1.446636927	0.278214327
XLOC_000474	Ankrd44	0.001101846	-2.667420014	0.027851084
XLOC_000475	Ankrd44	0.024561666	-2.986461805	0.124032635
XLOC_000476	Ankrd44	0.033327962	-2.941947069	0.147330985
XLOC_000477	Ankrd44	0.018180596	-2.258389923	0.104506529
XLOC_000478	Ankrd44	0.042428192	-2.350938933	0.168640412
XLOC_000479	Ankrd44	0.000968186	-2.289746023	0.026817939
XLOC_000481	Sf3b1	0.005805518	-0.576924006	0.05744592
XLOC_000483	-	0.010131943	-1.807654697	0.076143706
XLOC_000484	Coq10b	0.156724251	-0.831384687	0.353605093
XLOC_000485	Gm17971	0.900787789	-0.031242414	0.937727693
XLOC_000486	Hspd1,Hspe1	8.12e-05	3.265195951	0.015111446
XLOC_000487	Gm16581	0.297619463	-0.297073664	0.495384383
XLOC_000488	Mob4	0.25948282	-0.661853355	0.460186987
XLOC_000489	Rftn2	0.732263913	0.142487024	0.817841224
XLOC_000490	Gm10561	0.181700343	-0.109412359	0.385519719
XLOC_000491	Mars2	0.01422329	-0.627037014	0.091262625
XLOC_000492	Boll,Gm8292	0.127515792	-1.436114476	0.31417497
XLOC_000495	Gm38056	0.590088829	0.15747899	0.709709479
XLOC_000504	1700066M21Rik	0.188776158	0.207264989	0.389506091
XLOC_000505	9430016H08Rik,Tyw5	0.230487633	0.158939074	0.43033494
XLOC_000507	Spats2l	0.816645267	-0.018034069	0.878839995
XLOC_000508	Kctd18	0.04639003	-0.727864775	0.178138803
XLOC_000514	Gm37607	0.384688828	-0.1129931	0.551169243
XLOC_000515	Bzw1	0.000476014	-2.456729845	0.022746689
XLOC_000516	Clk1	0.000405251	-2.41905131	0.022085867
XLOC_000517	Nif3l1	0.013093034	0.822702761	0.087393588
XLOC_000518	Gm15834	0.352659337	-0.260666361	0.546427059
XLOC_000519	Ndufb3	0.391002219	0.067929323	0.551169243
XLOC_000524	Cflar	0.855967556	-0.084016635	0.907813942
XLOC_000526	Casp8	0.644540387	-0.081157236	0.751175698
XLOC_000527	Gm37760	0.24630281	-0.129521918	0.445948937
XLOC_000528	-	0.904499971	-0.034648904	0.940040175
XLOC_000529	Stradb,Trak2	0.316999378	-0.2100174	0.513071176
XLOC_000533	Als2,Gm29017	0.114390125	-0.26832571	0.2950304
XLOC_000534	Gm19125	0.967877952	0.012591667	0.980218564
XLOC_000538	Gm973	0.19104141	-0.624217973	0.391445759
XLOC_000540	Sumo1	0.010414755	0.777804546	0.077422453
XLOC_000542	Gm26293,Nop58	0.106263837	1.382389867	0.282665689
XLOC_000546	Bmpr2	0.183037029	-0.032662831	0.385548586
XLOC_000548	Fam117b	0.086828065	-0.362286704	0.253420444
XLOC_000549	Gm37531	0.229961186	-0.077031524	0.43005594
XLOC_000550	-	0.391002219	0.173460827	0.551169243
XLOC_000551	-	0.52676466	-0.249637671	0.661218047
XLOC_000552	Wdr12	0.01182363	1.057888212	0.082974501
XLOC_000553	Carf	0.391002219	0.126777652	0.551169243
XLOC_000555	Nbeal1	0.240287669	-0.235723249	0.440048934
XLOC_000556	Cyp20a1	0.456654631	0.030081768	0.605824512
XLOC_000558	Abi2	0.277391759	0.35370374	0.476819008
XLOC_000559	Gm11576	0.005559954	1.689422552	0.056182545
XLOC_000562	Eif4a-ps4	0.132737217	0.540152947	0.321553285
XLOC_000563	Cd28	0.193406022	-0.510324829	0.393303227
XLOC_000565	Gm37198	0.963113833	-0.028605319	0.976847879
XLOC_000569	Ctla4	0.441725477	-0.207002031	0.594030502
XLOC_000571	-	0.201443639	-1.187501524	0.401248564
XLOC_000572	Icos	0.069899695	0.180827119	0.225650435
XLOC_000594	Ino80dos,Rps27-ps1	0.76632656	0.049837512	0.843351742
XLOC_000596	Ino80dos	0.289343565	-0.293970378	0.487421178
XLOC_000597	Gm20342	0.503290934	-0.039702761	0.642334306
XLOC_000599	Eef1b2,Gm27390	0.29457326	-1.042473438	0.49243331
XLOC_000610	Gm13748,Gm26649	0.030686769	-0.964617037	0.140918287
XLOC_000613	Creb1	0.029015753	-0.550633355	0.136399016
XLOC_000614	Mettl21a	0.440751071	0.098242361	0.593010671
XLOC_000617	Ccnyl1	0.371703751	-0.251593785	0.551169243
XLOC_000618	Gm38058	0.017244371	-0.493612241	0.101211254
XLOC_000619	Rpl31-ps24	0.024803272	-0.884719129	0.124739709
XLOC_000621	Rpl10a-ps1	0.001198235	0.86113656	0.0290839
XLOC_000624	Idh1	0.016622207	-1.237677015	0.099452476
XLOC_000625	Pikfyve	0.050936647	-0.076428138	0.188288168
XLOC_000631	Map2	0.563295701	-0.031952301	0.688799539
XLOC_000635	Rpe	0.274663319	-0.095602568	0.474166138
XLOC_000636	Gm38162	0.004138249	-0.892153059	0.048620256
XLOC_000637	Gm15789	0.005262217	-0.608897796	0.054476001
XLOC_000638	Gm37755	0.002521129	-0.585379949	0.039288837
XLOC_000639	-	0.031530123	-0.970632602	0.143309793
XLOC_000640	Gm27934	0.073683751	0.268942646	0.231971955
XLOC_000644	Lancl1	0.594038693	0.186710212	0.712498501
XLOC_000656	Gm29114,Ikzf2	0.005103631	-0.972643633	0.053712528
XLOC_000657	Ikzf2	0.01091296	-1.141178155	0.079326262
XLOC_000662	Bard1	0.17736958	-0.564298682	0.380633059
XLOC_000663	Atic	0.292370926	0.211922308	0.490159202
XLOC_000669	D230017M19Rik	0.165382837	1.270756106	0.365070531
XLOC_000673	D230017M19Rik,Tmem169	0.080471503	3.032595209	0.243065111
XLOC_000674	Xrcc5	0.926039176	0.009138003	0.953353713
XLOC_000676	Smarcal1	0.74357471	-0.011740699	0.82611612
XLOC_000677	Rpl37a	0.513945296	-0.47060991	0.650610167
XLOC_000686	Tns1	0.097414417	-0.53746061	0.269150068
XLOC_000690	Arpc2	0.913830732	0.016163266	0.945874709
XLOC_000691	Gm28364,Gpbar1	0.02484881	0.718591194	0.124848958
XLOC_000693	Gm29358,Tmbim1	0.009394798	1.833864596	0.07337329
XLOC_000694	Gm29358	0.022782629	0.303318749	0.118393787
XLOC_000698	Ctdsp1	0.097031223	0.475767246	0.268619881
XLOC_000700	Usp37,Vil1	0.000747486	0.85096078	0.024885496
XLOC_000701	Rqcd1	0.700520599	-0.078858197	0.794552066
XLOC_000702	Plcd4,Zfp142	0.249508366	-0.056085755	0.449360153
XLOC_000703	Bcs1l	0.084493531	-0.216073005	0.249498415
XLOC_000704	Rnf25	0.107369643	0.444648441	0.284567551
XLOC_000706	-	0.09343145	0.848637542	0.264006452
XLOC_000707	Ttll4	0.193592652	0.177601978	0.39339876
XLOC_000712	-	0.604896517	-0.284462027	0.721132828
XLOC_000717	Nhej1	0.477804076	0.393199559	0.622475171
XLOC_000718	-	0.028903546	-1.428489277	0.136007068
XLOC_000719	Nhej1	0.081394031	-2.651989253	0.244639414
XLOC_000720	Cnppd1	0.005648237	-0.930473131	0.056762905
XLOC_000721	Fam134a	0.280190339	-0.133277815	0.47974062
XLOC_000722	Zfand2b	0.782120118	0.095357673	0.855451789
XLOC_000723	Gm29253	0.0182197	-1.213572991	0.104593685
XLOC_000724	Ankzf1	0.955237157	0.017442315	0.971998306
XLOC_000725	Stk16	0.097123035	0.18675743	0.268649766
XLOC_000726	Dnajb2	0.007324829	-0.595135504	0.064515594
XLOC_000729	Dnpep	0.061993375	0.427752162	0.211167776
XLOC_000732	Gmppa	0.936622558	-0.024782242	0.960514495
XLOC_000733	Asic4,Chpf,Tmem198	0.006057904	0.754206527	0.058507653
XLOC_000735	Stk11ip	0.211201173	-0.036957465	0.410743815
XLOC_000747	Farsb,Gm28995,Sgpp2	0.00401297	1.639758465	0.047943464
XLOC_000749	Gm28995	0.391002219	0.711851921	0.551169243
XLOC_000752	Acsl3,Utp14b	0.903171891	-0.011466673	0.938994987
XLOC_000755	-	0.150169411	-0.363585373	0.345042129
XLOC_000756	Ap1s3	0.255556534	0.232868727	0.456029489
XLOC_000757	Wdfy1	0.690312961	0.168817417	0.786921951
XLOC_000758	Gm10555,Wdfy1	0.763463526	-0.180134712	0.841083761
XLOC_000760	Mrpl44	0.391002219	-0.08701628	0.551169243
XLOC_000761	Serpine2	0.035206872	1.702988701	0.152510747
XLOC_000762	Gm5529	0.752189923	0.227623468	0.832583179
XLOC_000766	9830004L10Rik	0.350589166	0.253987765	0.544474654
XLOC_000767	Fam124b	0.002975781	1.34240161	0.041991003
XLOC_000769	-	0.03070734	-1.510411875	0.140988052
XLOC_000770	Cul3	0.009509127	-0.100772522	0.073743561
XLOC_000773	-	0.008584949	-1.156944881	0.069389052
XLOC_000774	Dock10	0.014285154	-0.34570583	0.091392232
XLOC_000780	Gm9747	0.391002219	0.034555517	0.551169243
XLOC_000781	Rhbdd1	0.84312098	-0.025367581	0.898259852
XLOC_000783	Col4a3	0.618449335	-0.014506265	0.731567037
XLOC_000785	Mff	0.611760854	-0.197019501	0.726639274
XLOC_000787	-	0.08418071	-0.817278442	0.249050638
XLOC_000788	-	0.322018654	-0.824787642	0.517837604
XLOC_000789	-	0.267955732	-0.25948005	0.467713634
XLOC_000790	-	0.086083694	-0.544313412	0.252170964
XLOC_000791	Gm36999	0.100680502	-0.519939418	0.274066118
XLOC_000793	Agfg1,Gm22396	0.420301142	0.080622997	0.576089886
XLOC_000805	Trip12	0.386818818	-0.104682153	0.551169243
XLOC_000811	A530040E14Rik	0.862036881	0.015494793	0.911390081
XLOC_000816	C130026I21Rik	0.050160725	-1.444011433	0.186524746
XLOC_000821	G530012D18Rik,Sp110	0.0813727	-0.159405583	0.244631404
XLOC_000823	Sp140	0.068435819	0.239913193	0.22278188
XLOC_000824	Sp100,n-R5s215	0.190980591	-1.57676044	0.391398221
XLOC_000825	A630001G21Rik	0.012000766	0.729731742	0.083550993
XLOC_000830	Cab39	0.311889078	0.250050501	0.508441851
XLOC_000831	Itm2c	0.198175224	-0.138448475	0.397533402
XLOC_000835	Armc9,Gm21972,Psmd1	0.032171876	0.360300856	0.144655558
XLOC_000841	C130036L24Rik,Ncl	0.001005976	2.130703676	0.027046991
XLOC_000842	-	0.006772637	-2.295013018	0.061758534
XLOC_000844	-	0.991269702	0.178979625	0.994556766
XLOC_000846	-	0.052313927	-0.325513955	0.191221957
XLOC_000847	-	0.406902932	-0.208861604	0.564639025
XLOC_000848	-	0.467202814	0.338856742	0.613903882
XLOC_000849	Ptma	0.039623715	1.048409193	0.162436162
XLOC_000850	Gm37152	0.044087613	0.677923267	0.172661664
XLOC_000851	Gm37152	0.070610959	1.058415062	0.226959469
XLOC_000854	Dis3l2	0.768366853	0.019330537	0.844865695
XLOC_000861	Gm6136	0.472917532	-0.08608951	0.618661194
XLOC_000870	Chrng	0.179454956	0.121006901	0.383363758
XLOC_000871	Eif4e2	0.101780297	-0.346322027	0.275668808
XLOC_000874	Gigyf2	0.973121712	0.031977736	0.983340458
XLOC_000878	Inpp5d	0.226971937	-0.583551192	0.427030463
XLOC_000879	Atg16l1	0.939815966	-0.014214822	0.962621863
XLOC_000882	Sag	0.018765644	-0.682437208	0.106468691
XLOC_000883	-	0.024247935	-1.533326386	0.122985078
XLOC_000884	Dgkd	0.409708092	0.592492135	0.566895508
XLOC_000885	4833421G17Rik	0.080140486	-0.571843452	0.242514411
XLOC_000890	Ugt1a1,Ugt1a10,Ugt1a2,Ugt1a5,Ugt1a6a,Ugt1a6b,Ugt1a7c,Ugt1a8,Ugt1a9	0.391002219	-0.061311542	0.551169243
XLOC_000899	Hjurp,Mroh2a,Trpm8	0.001439197	-1.000241614	0.031202835
XLOC_000902	Glrp1	0.00367271	1.160739524	0.04637239
XLOC_000904	Gm38130	0.191856676	-0.427988246	0.392120639
XLOC_000906	Arl4c	0.000314999	-3.974090066	0.020476758
XLOC_000925	Cops8	0.423561722	-0.343367762	0.578607921
XLOC_000929	Lrrfip1	0.060434853	-1.0902549	0.208176419
XLOC_000933	Ube2f	0.211076495	-0.393684381	0.410653683
XLOC_000935	Scly	0.391002219	-0.534971321	0.551169243
XLOC_000936	Espnl	0.080749552	-0.079832708	0.243568155
XLOC_000937	Klhl30	0.316171698	-0.131927592	0.512491036
XLOC_000938	Fam132b,Ilkap	0.741335243	-0.035897558	0.824654591
XLOC_000939	Hes6	0.000183307	-0.992218292	0.018171037
XLOC_000940	Per2	0.006993814	-1.087613652	0.062824483
XLOC_000943	Asb1	0.391002219	-0.006826618	0.551169243
XLOC_000947	Gm37600	0.011590798	-0.667490871	0.082027246
XLOC_000948	Gm26720,Hdac4	0.30747769	-0.2770511	0.503972332
XLOC_000949	Gm37048	0.063494551	-0.416324815	0.213785377
XLOC_000951	Ndufa10	0.020087269	0.831179537	0.110791811
XLOC_000961	-	0.26608802	0.404913341	0.466283057
XLOC_000962	Myeov2	0.78885783	0.045658847	0.860340805
XLOC_000963	Gpc1	0.575439815	-0.100506039	0.698373667
XLOC_000965	-	0.527377494	0.266845475	0.661702114
XLOC_000966	Dusp28	0.556005421	-0.224492876	0.683648283
XLOC_000967	Rnpepl1	0.41504677	-0.140829297	0.571585826
XLOC_000968	Capn10	0.030950504	-0.51398095	0.141738525
XLOC_000976	Mir6901,Mterf4,Sned1	0.07673413	1.062085865	0.236693512
XLOC_000978	Ppp1r7	0.501257758	0.119165591	0.640394227
XLOC_000982	Ano7	0.078401037	-0.35573851	0.239693742
XLOC_000983	Gm17415	0.002761843	1.093402377	0.040848541
XLOC_000984	Gm17415	0.612350154	-0.440404899	0.726878102
XLOC_000985	Sep-02	0.156729131	0.8260034	0.353605093
XLOC_000986	Farp2,Gm28536	0.230778103	-0.257039612	0.430724393
XLOC_000988	Bok	0.101544919	0.165020556	0.275309828
XLOC_000989	Atg4b,Gm10550,Thap4	0.017548136	1.017467508	0.102238662
XLOC_000990	Thap4	0.394714928	0.788492304	0.554502015
XLOC_000991	Thap4	0.111823192	1.698538151	0.2910659
XLOC_000992	Atg4b	0.070385732	0.80313456	0.22667122
XLOC_000993	Dtymk	0.012098628	0.761654134	0.083918823
XLOC_000994	Ing5	0.294897129	-0.069685561	0.492723327
XLOC_000999	-	0.355653559	0.567958451	0.549345379
XLOC_001000	-	0.223839048	0.159903172	0.423653501
XLOC_001001	-	0.316258974	0.209490388	0.512566035
XLOC_001005	Pdcd1	0.000946065	2.671089616	0.026773331
XLOC_001007	Gm7895	0.270604871	-0.434923198	0.47048918
XLOC_001009	-	0.449162258	-0.401458885	0.600135644
XLOC_001010	Fam174a	0.956328076	0.004205875	0.972844007
XLOC_001011	BC055308	0.391002219	-0.040765176	0.551169243
XLOC_001012	Gm15427	0.973136406	-0.355108957	0.983340458
XLOC_001013	-	0.098572001	-0.701795466	0.270806969
XLOC_001014	St8sia4	0.008787325	-1.361964929	0.070676087
XLOC_001015	Gm37642	0.16828474	-1.182401329	0.369158893
XLOC_001026	D1Ertd622e	0.076549447	0.363498815	0.236533549
XLOC_001027	-	0.51750543	0.170485495	0.653295768
XLOC_001028	Gin1,Ppip5k2	0.083494055	0.575553132	0.248123499
XLOC_001029	Gm25413,Pam	0.246411591	-0.371389927	0.446059436
XLOC_001053	-	0.808676461	-0.005813525	0.873419894
XLOC_001054	Gm28187	0.003962284	0.668483008	0.047657097
XLOC_001060	-	0.23794909	1.060186128	0.437931233
XLOC_001072	Gm3608	0.780399542	-0.030292271	0.854041985
XLOC_001073	2310035C23Rik,Gm8004	0.210210718	0.330836165	0.410217639
XLOC_001074	Gm20302	0.11808676	-0.222502657	0.300105697
XLOC_001075	Gm8004	0.118203073	-0.399957859	0.300283164
XLOC_001080	Zcchc2	0.054965425	-0.254172855	0.19725544
XLOC_001082	Phlpp1	0.672527611	-0.018172043	0.773951519
XLOC_001085	Bcl2,D630008O14Rik	0.000224105	-1.073367967	0.018859918
XLOC_001086	Kdsr,Vps4b	0.094727513	-0.360324524	0.265842564
XLOC_001087	-	0.00044339	-0.665192157	0.022291901
XLOC_001108	Dsel	0.546672606	-0.146835365	0.676073713
XLOC_001135	-	0.633588539	0.122645237	0.742206953
XLOC_001136	-	0.623454018	0.083982031	0.734621744
XLOC_001137	-	0.328830057	-0.341430619	0.524549763
XLOC_001138	Tsn	0.000850533	0.359576261	0.025858429
XLOC_001139	Nifk	0.761937616	0.211042528	0.839790968
XLOC_001141	-	0.0822883	-0.784948943	0.246159187
XLOC_001142	Clasp1	0.193701409	-0.156052266	0.393467245
XLOC_001149	Gm29454,Ralb	0.519740301	0.039687961	0.655147331
XLOC_001151	Tmem185b	0.522696509	0.173872422	0.657686295
XLOC_001153	-	0.880245793	0.082205403	0.923769977
XLOC_001154	Gm29657,Ptpn4	0.637779535	-0.09046897	0.745849789
XLOC_001156	Gm29657	0.465666945	-0.611463405	0.612631096
XLOC_001157	Gm8338	0.185421898	-1.44858588	0.386955793
